Central, Accuracy, Experiment,   Time (hrs)
18.482, 10.806, data/LOCAL_experiment_2/uniform_fixed_eps_lr02_ep1_bs1_1/, 0.007
16.263, 12.609, data/LOCAL_experiment_2/weighted_vary_eps_lr02_ep1_bs1_3/, 0.008
38.322, 13.048, data/LOCAL_experiment_2/uniform_fixed_eps_lr02_ep1_bs1_3/, 0.007
28.947, 13.445, data/LOCAL_experiment_2/weighted_vary_eps_lr02_ep1_bs1_0/, 0.007
11.289, 14.397, data/LOCAL_experiment_2/uniform_vary_eps_lr02_ep1_bs1_1/, 0.007
30.342, 19.431, data/LOCAL_experiment_2/none_lr02_ep1_bs1_0/, 0.009
6.385, 33.578, data/LOCAL_experiment_2/uniform_fixed_eps_lr02_ep1_bs1_2/, 0.008
12.795, 38.116, data/LOCAL_experiment_2/none_lr02_ep1_bs1_2/, 0.007
21.093, 40.477, data/LOCAL_experiment_2/weighted_fixed_eps_lr02_ep1_bs1_4/, 0.007
11.584, 41.255, data/LOCAL_experiment_2/uniform_vary_eps_lr02_ep1_bs1_4/, 0.008
11.099, 42.139, data/LOCAL_experiment_2/weighted_vary_eps_lr02_ep1_bs1_4/, 0.007
24.248, 42.395, data/LOCAL_experiment_2/weighted_vary_eps_lr02_ep1_bs1_2/, 0.007
21.243, 43.526, data/LOCAL_experiment_2/none_lr02_ep1_bs1_1/, 0.006
18.649, 48.111, data/LOCAL_experiment_2/uniform_fixed_eps_lr02_ep1_bs1_4/, 0.007
12.140, 48.803, data/LOCAL_experiment_2/none_lr02_ep1_bs1_4/, 0.007
27.895, 49.960, data/LOCAL_experiment_2/weighted_vary_eps_lr02_ep1_bs1_1/, 0.007
21.938, 53.571, data/LOCAL_experiment_2/uniform_fixed_eps_lr02_ep1_bs1_0/, 0.006
23.169, 54.591, data/LOCAL_experiment_2/weighted_fixed_eps_lr02_ep1_bs1_0/, 0.007
9.593, 58.343, data/LOCAL_experiment_2/weighted_fixed_eps_lr02_ep1_bs1_1/, 0.007
9.178, 60.832, data/LOCAL_experiment_2/weighted_fixed_eps_lr02_ep1_bs1_3/, 0.007
1.438, 62.337, data/LOCAL_experiment_2/uniform_vary_eps_lr02_ep1_bs1_0/, 0.007
7.550, 62.371, data/LOCAL_experiment_2/weighted_fixed_eps_lr02_ep1_bs1_2/, 0.007
21.533, 63.282, data/LOCAL_experiment_2/none_lr02_ep1_bs1_3/, 0.007
16.465, 66.382, data/LOCAL_experiment_2/uniform_vary_eps_lr02_ep1_bs1_3/, 0.007
7.388, 68.256, data/LOCAL_experiment_2/uniform_vary_eps_lr02_ep1_bs1_2/, 0.007
