1,4,1.565
1,8,0.722
1,12,0.466
1,16,0.336
1,20,0.287
EPOCH1,1.432,61.197

2,4,1.349
2,8,0.655
2,12,0.438
2,16,0.315
2,20,0.260
EPOCH2,1.305,70.387

3,4,1.279
3,8,0.613
3,12,0.417
3,16,0.315
3,20,0.251
EPOCH3,1.244,69.756

4,4,1.235
4,8,0.619
4,12,0.396
4,16,0.292
4,20,0.233
EPOCH4,1.200,71.829

5,4,1.181
5,8,0.561
5,12,0.391
5,16,0.289
5,20,0.230
EPOCH5,1.155,76.849

6,4,1.134
6,8,0.555
6,12,0.373
6,16,0.271
6,20,0.223
EPOCH6,1.112,76.274

7,4,1.076
7,8,0.546
7,12,0.353
7,16,0.267
7,20,0.218
EPOCH7,1.076,79.099

8,4,1.075
8,8,0.539
8,12,0.345
8,16,0.251
8,20,0.209
EPOCH8,1.043,78.502

9,4,1.029
9,8,0.500
9,12,0.332
9,16,0.251
9,20,0.200
EPOCH9,1.007,78.079

10,4,0.995
10,8,0.484
10,12,0.338
10,16,0.233
10,20,0.190
EPOCH10,0.977,80.712

11,4,0.983
11,8,0.485
11,12,0.305
11,16,0.238
11,20,0.182
EPOCH11,0.946,78.146

12,4,0.936
12,8,0.460
12,12,0.308
12,16,0.232
12,20,0.180
EPOCH12,0.925,78.656

13,4,0.891
13,8,0.468
13,12,0.304
13,16,0.222
13,20,0.174
EPOCH13,0.897,79.102

14,4,0.874
14,8,0.437
14,12,0.301
14,16,0.210
14,20,0.169
EPOCH14,0.869,80.496

15,4,0.880
15,8,0.412
15,12,0.277
15,16,0.211
15,20,0.170
EPOCH15,0.843,80.505

16,4,0.808
16,8,0.390
16,12,0.286
16,16,0.205
16,20,0.166
EPOCH16,0.819,80.040

17,4,0.817
17,8,0.410
17,12,0.265
17,16,0.193
17,20,0.158
EPOCH17,0.797,80.601

18,4,0.799
18,8,0.403
18,12,0.255
18,16,0.191
18,20,0.155
EPOCH18,0.778,80.894

19,4,0.755
19,8,0.390
19,12,0.252
19,16,0.186
19,20,0.156
EPOCH19,0.762,81.414

20,4,0.726
20,8,0.368
20,12,0.248
20,16,0.183
20,20,0.151
EPOCH20,0.740,83.368

21,4,0.728
21,8,0.365
21,12,0.241
21,16,0.181
21,20,0.145
EPOCH21,0.720,84.046

22,4,0.722
22,8,0.347
22,12,0.233
22,16,0.174
22,20,0.142
EPOCH22,0.704,83.854

23,4,0.687
23,8,0.351
23,12,0.231
23,16,0.173
23,20,0.137
EPOCH23,0.688,84.060

24,4,0.654
24,8,0.345
24,12,0.226
24,16,0.165
24,20,0.143
EPOCH24,0.678,83.412

25,4,0.669
25,8,0.328
25,12,0.225
25,16,0.163
25,20,0.139
EPOCH25,0.670,85.809

26,4,0.670
26,8,0.335
26,12,0.223
26,16,0.166
26,20,0.130
EPOCH26,0.662,83.059

27,4,0.655
27,8,0.322
27,12,0.222
27,16,0.165
27,20,0.131
EPOCH27,0.654,84.820

28,4,0.674
28,8,0.311
28,12,0.206
28,16,0.161
28,20,0.133
EPOCH28,0.648,85.712

29,4,0.641
29,8,0.313
29,12,0.218
29,16,0.162
29,20,0.131
EPOCH29,0.643,85.604

30,4,0.616
30,8,0.316
30,12,0.217
30,16,0.161
30,20,0.128
EPOCH30,0.636,84.868

31,4,0.622
31,8,0.306
31,12,0.209
31,16,0.157
31,20,0.130
EPOCH31,0.629,86.316

32,4,0.617
32,8,0.315
32,12,0.206
32,16,0.153
32,20,0.126
EPOCH32,0.621,85.023

33,4,0.628
33,8,0.324
33,12,0.201
33,16,0.149
33,20,0.118
EPOCH33,0.614,87.940

34,4,0.603
34,8,0.300
34,12,0.200
34,16,0.151
34,20,0.125
EPOCH34,0.609,84.538

35,4,0.604
35,8,0.300
35,12,0.204
35,16,0.151
35,20,0.119
EPOCH35,0.604,87.635

36,4,0.600
36,8,0.301
36,12,0.202
36,16,0.153
36,20,0.117
EPOCH36,0.601,86.507

37,4,0.594
37,8,0.314
37,12,0.199
37,16,0.144
37,20,0.119
EPOCH37,0.597,86.408

38,4,0.575
38,8,0.300
38,12,0.199
38,16,0.153
38,20,0.118
EPOCH38,0.595,86.616

39,4,0.598
39,8,0.288
39,12,0.197
39,16,0.150
39,20,0.119
EPOCH39,0.591,87.345

40,4,0.599
40,8,0.294
40,12,0.203
40,16,0.147
40,20,0.117
EPOCH40,0.589,85.990

41,4,0.577
41,8,0.293
41,12,0.188
41,16,0.149
41,20,0.120
EPOCH41,0.586,87.298

42,4,0.605
42,8,0.289
42,12,0.189
42,16,0.152
42,20,0.115
EPOCH42,0.583,85.390

43,4,0.579
43,8,0.291
43,12,0.195
43,16,0.145
43,20,0.114
EPOCH43,0.580,87.240

44,4,0.601
44,8,0.291
44,12,0.190
44,16,0.143
44,20,0.112
EPOCH44,0.577,86.704

45,4,0.605
45,8,0.278
45,12,0.192
45,16,0.143
45,20,0.112
EPOCH45,0.575,86.664

46,4,0.556
46,8,0.296
46,12,0.186
46,16,0.143
46,20,0.116
EPOCH46,0.572,86.951

47,4,0.559
47,8,0.284
47,12,0.186
47,16,0.146
47,20,0.114
EPOCH47,0.569,87.476

48,4,0.576
48,8,0.287
48,12,0.189
48,16,0.139
48,20,0.112
EPOCH48,0.566,87.559

49,4,0.559
49,8,0.270
49,12,0.185
49,16,0.139
49,20,0.117
EPOCH49,0.563,87.592

50,4,0.539
50,8,0.275
50,12,0.186
50,16,0.145
50,20,0.117
EPOCH50,0.561,86.759

51,4,0.563
51,8,0.281
51,12,0.188
51,16,0.143
51,20,0.107
EPOCH51,0.559,86.791

52,4,0.560
52,8,0.285
52,12,0.180
52,16,0.140
52,20,0.107
EPOCH52,0.556,88.090

53,4,0.557
53,8,0.290
53,12,0.179
53,16,0.139
53,20,0.105
EPOCH53,0.553,87.910

54,4,0.563
54,8,0.278
54,12,0.179
54,16,0.136
54,20,0.108
EPOCH54,0.551,87.256

55,4,0.549
55,8,0.268
55,12,0.188
55,16,0.139
55,20,0.107
EPOCH55,0.548,88.552

56,4,0.554
56,8,0.284
56,12,0.185
56,16,0.129
56,20,0.108
EPOCH56,0.546,87.327

57,4,0.552
57,8,0.280
57,12,0.180
57,16,0.134
57,20,0.110
EPOCH57,0.545,88.372

58,4,0.546
58,8,0.285
58,12,0.180
58,16,0.131
58,20,0.109
EPOCH58,0.543,88.734

59,4,0.524
59,8,0.265
59,12,0.185
59,16,0.134
59,20,0.107
EPOCH59,0.539,87.950

60,4,0.537
60,8,0.268
60,12,0.176
60,16,0.134
60,20,0.110
EPOCH60,0.536,88.227

61,4,0.527
61,8,0.259
61,12,0.177
61,16,0.136
61,20,0.107
EPOCH61,0.535,89.062

62,4,0.539
62,8,0.266
62,12,0.175
62,16,0.132
62,20,0.108
EPOCH62,0.533,88.187

63,4,0.536
63,8,0.270
63,12,0.179
63,16,0.137
63,20,0.098
EPOCH63,0.531,89.229

64,4,0.541
64,8,0.262
64,12,0.172
64,16,0.133
64,20,0.103
EPOCH64,0.529,89.312

65,4,0.512
