1,4,1.507
1,8,0.670
1,12,0.452
1,16,0.319
1,20,0.263
EPOCH1,1.348,58.389

2,4,1.232
2,8,0.619
2,12,0.413
2,16,0.314
2,20,0.242
EPOCH2,1.223,63.149

3,4,1.222
3,8,0.613
3,12,0.374
3,16,0.289
3,20,0.243
EPOCH3,1.181,67.976

4,4,1.215
4,8,0.566
4,12,0.387
4,16,0.288
4,20,0.225
EPOCH4,1.160,69.726

5,4,1.128
5,8,0.578
5,12,0.392
5,16,0.282
5,20,0.228
EPOCH5,1.147,69.862

6,4,1.125
6,8,0.578
6,12,0.374
6,16,0.287
6,20,0.227
EPOCH6,1.140,69.402

7,4,1.094
7,8,0.564
7,12,0.389
7,16,0.291
7,20,0.225
EPOCH7,1.134,69.542

8,4,1.139
8,8,0.557
8,12,0.399
8,16,0.271
8,20,0.220
EPOCH8,1.129,69.562

9,4,1.141
9,8,0.523
9,12,0.375
9,16,0.289
9,20,0.229
EPOCH9,1.122,69.811

10,4,1.084
10,8,0.575
10,12,0.363
10,16,0.288
10,20,0.224
EPOCH10,1.120,69.787

11,4,1.097
11,8,0.567
11,12,0.384
11,16,0.270
11,20,0.219
EPOCH11,1.113,70.044

12,4,1.118
12,8,0.549
12,12,0.372
12,16,0.269
12,20,0.218
EPOCH12,1.107,70.356

13,4,1.116
13,8,0.551
13,12,0.364
13,16,0.271
13,20,0.225
EPOCH13,1.102,70.505

14,4,1.083
14,8,0.540
14,12,0.365
14,16,0.276
14,20,0.221
EPOCH14,1.098,70.471

15,4,1.107
15,8,0.539
15,12,0.356
15,16,0.275
15,20,0.219
EPOCH15,1.091,70.717

16,4,1.102
16,8,0.543
16,12,0.354
16,16,0.280
16,20,0.209
EPOCH16,1.086,70.947

17,4,1.104
17,8,0.555
17,12,0.361
17,16,0.270
17,20,0.216
EPOCH17,1.082,71.044

18,4,1.073
18,8,0.559
18,12,0.356
18,16,0.268
18,20,0.210
EPOCH18,1.077,71.083

19,4,1.052
19,8,0.546
19,12,0.359
19,16,0.274
19,20,0.209
EPOCH19,1.072,71.232

20,4,1.062
20,8,0.529
20,12,0.361
20,16,0.273
20,20,0.215
EPOCH20,1.068,71.345

21,4,1.041
21,8,0.526
21,12,0.354
21,16,0.276
21,20,0.216
EPOCH21,1.066,71.146

22,4,1.062
22,8,0.504
22,12,0.360
22,16,0.271
22,20,0.213
EPOCH22,1.062,71.232

23,4,1.062
23,8,0.518
23,12,0.351
23,16,0.272
23,20,0.206
EPOCH23,1.057,71.376

24,4,1.093
24,8,0.525
24,12,0.347
24,16,0.269
24,20,0.209
EPOCH24,1.053,71.397

25,4,1.009
25,8,0.519
25,12,0.351
25,16,0.269
25,20,0.209
EPOCH25,1.048,71.516

26,4,1.054
26,8,0.513
26,12,0.348
26,16,0.263
26,20,0.216
