1,4,1.615
1,8,0.722
1,12,0.465
1,16,0.339
1,20,0.269
EPOCH1,1.420,51.850

2,4,1.329
2,8,0.654
2,12,0.420
2,16,0.331
2,20,0.266
EPOCH2,1.310,69.838

3,4,1.324
3,8,0.608
3,12,0.426
3,16,0.321
3,20,0.261
EPOCH3,1.285,70.063

4,4,1.236
4,8,0.625
4,12,0.441
4,16,0.323
4,20,0.249
EPOCH4,1.272,69.981

5,4,1.289
5,8,0.619
5,12,0.421
5,16,0.308
5,20,0.255
EPOCH5,1.262,69.882

6,4,1.255
6,8,0.595
6,12,0.437
6,16,0.309
6,20,0.253
EPOCH6,1.253,69.817

7,4,1.248
7,8,0.631
7,12,0.421
7,16,0.308
7,20,0.245
EPOCH7,1.247,69.696

8,4,1.179
8,8,0.645
8,12,0.419
8,16,0.306
8,20,0.251
EPOCH8,1.241,69.783

9,4,1.262
9,8,0.629
9,12,0.395
9,16,0.301
9,20,0.249
EPOCH9,1.235,70.022

10,4,1.239
10,8,0.621
10,12,0.424
10,16,0.303
10,20,0.240
EPOCH10,1.230,70.334

11,4,1.193
11,8,0.607
11,12,0.428
11,16,0.305
11,20,0.243
EPOCH11,1.225,70.468

12,4,1.250
12,8,0.592
12,12,0.412
12,16,0.307
12,20,0.234
EPOCH12,1.220,70.671

13,4,1.251
13,8,0.588
13,12,0.413
13,16,0.291
13,20,0.245
EPOCH13,1.215,70.793

14,4,1.223
14,8,0.614
14,12,0.387
14,16,0.310
14,20,0.237
EPOCH14,1.210,70.875

15,4,1.246
15,8,0.562
15,12,0.400
15,16,0.311
15,20,0.249
EPOCH15,1.207,70.850

16,4,1.226
16,8,0.579
16,12,0.399
16,16,0.299
16,20,0.238
EPOCH16,1.201,71.094

17,4,1.165
17,8,0.565
17,12,0.406
17,16,0.310
17,20,0.244
EPOCH17,1.195,71.190

18,4,1.182
18,8,0.596
18,12,0.400
18,16,0.294
18,20,0.237
EPOCH18,1.191,71.316

19,4,1.236
19,8,0.593
19,12,0.408
19,16,0.287
19,20,0.229
EPOCH19,1.189,71.149

20,4,1.143
20,8,0.609
20,12,0.398
20,16,0.289
20,20,0.242
EPOCH20,1.185,71.189

21,4,1.185
21,8,0.579
21,12,0.392
21,16,0.300
21,20,0.235
EPOCH21,1.179,71.378

22,4,1.193
22,8,0.561
22,12,0.387
22,16,0.306
22,20,0.231
EPOCH22,1.175,71.421

23,4,1.143
23,8,0.575
23,12,0.397
23,16,0.301
23,20,0.232
EPOCH23,1.171,71.467

24,4,1.171
24,8,0.596
24,12,0.381
24,16,0.291
24,20,0.226
EPOCH24,1.166,71.537

25,4,1.174
25,8,0.585
25,12,0.377
25,16,0.296
25,20,0.229
EPOCH25,1.161,71.687

26,4,1.174
26,8,0.600
26,12,0.400
26,16,0.272
26,20,0.226
EPOCH26,1.158,71.638

27,4,1.197
27,8,0.570
27,12,0.382
27,16,0.284
27,20,0.221
EPOCH27,1.153,71.753

28,4,1.162
28,8,0.572
28,12,0.387
28,16,0.289
28,20,0.226
EPOCH28,1.149,71.821

29,4,1.102
29,8,0.578
29,12,0.380
29,16,0.281
29,20,0.241
EPOCH29,1.145,71.852

30,4,1.117
30,8,0.594
30,12,0.382
30,16,0.276
30,20,0.225
EPOCH30,1.141,71.886

31,4,1.130
31,8,0.557
31,12,0.375
31,16,0.289
31,20,0.228
EPOCH31,1.136,71.985

32,4,1.128
32,8,0.567
32,12,0.383
32,16,0.286
32,20,0.220
EPOCH32,1.131,72.092

33,4,1.081
33,8,0.592
33,12,0.367
33,16,0.272
33,20,0.234
EPOCH33,1.127,72.186

34,4,1.109
34,8,0.536
34,12,0.366
34,16,0.295
34,20,0.232
EPOCH34,1.123,72.182

35,4,1.129
35,8,0.578
35,12,0.364
35,16,0.281
35,20,0.219
EPOCH35,1.119,72.210

36,4,1.119
36,8,0.575
36,12,0.378
36,16,0.277
36,20,0.218
EPOCH36,1.116,72.204

37,4,1.106
37,8,0.552
37,12,0.365
37,16,0.278
37,20,0.228
EPOCH37,1.113,72.223

38,4,1.120
38,8,0.557
38,12,0.374
38,16,0.268
38,20,0.223
EPOCH38,1.108,72.260

39,4,1.104
39,8,0.555
39,12,0.360
39,16,0.283
39,20,0.218
EPOCH39,1.103,72.385

40,4,1.125
40,8,0.558
40,12,0.371
40,16,0.264
40,20,0.219
EPOCH40,1.099,72.425

41,4,1.114
41,8,0.554
41,12,0.362
41,16,0.271
41,20,0.219
EPOCH41,1.094,72.530

42,4,1.125
42,8,0.527
42,12,0.352
42,16,0.283
42,20,0.217
EPOCH42,1.090,72.569

43,4,1.064
43,8,0.556
