1,2,1.633
1,4,0.738
1,6,0.454
1,8,0.326
1,10,0.262
EPOCH1,1.406,41.858

2,2,1.268
2,4,0.623
2,6,0.415
2,8,0.311
2,10,0.251
EPOCH2,1.246,62.263

3,2,1.179
3,4,0.606
3,6,0.394
3,8,0.296
3,10,0.241
EPOCH3,1.188,64.887

4,2,1.148
4,4,0.598
4,6,0.389
4,8,0.284
4,10,0.226
EPOCH4,1.157,66.057

5,2,1.122
5,4,0.568
5,6,0.388
5,8,0.280
5,10,0.218
EPOCH5,1.132,66.172

6,2,1.104
6,4,0.538
6,6,0.368
6,8,0.278
6,10,0.217
EPOCH6,1.105,66.816

7,2,1.090
7,4,0.540
7,6,0.368
7,8,0.264
7,10,0.209
EPOCH7,1.081,67.799

8,2,1.090
8,4,0.520
8,6,0.343
8,8,0.269
8,10,0.218
EPOCH8,1.062,68.290

9,2,1.033
9,4,0.514
9,6,0.344
9,8,0.260
9,10,0.209
EPOCH9,1.036,68.961

10,2,1.049
10,4,0.506
10,6,0.337
10,8,0.253
10,10,0.197
EPOCH10,1.013,69.502

11,2,0.983
11,4,0.497
11,6,0.338
11,8,0.257
11,10,0.194
EPOCH11,0.995,69.575

12,2,0.957
12,4,0.491
12,6,0.331
12,8,0.245
12,10,0.199
EPOCH12,0.980,69.705

13,2,1.000
13,4,0.474
13,6,0.301
13,8,0.246
13,10,0.198
EPOCH13,0.960,70.004

14,2,0.939
14,4,0.472
14,6,0.319
14,8,0.237
14,10,0.184
EPOCH14,0.944,70.047

15,2,0.898
15,4,0.480
15,6,0.299
15,8,0.239
15,10,0.184
EPOCH15,0.927,70.260

16,2,0.925
16,4,0.452
16,6,0.298
16,8,0.230
16,10,0.183
EPOCH16,0.911,70.375

17,2,0.905
17,4,0.443
17,6,0.308
17,8,0.218
17,10,0.183
EPOCH17,0.900,70.145

18,2,0.839
18,4,0.446
18,6,0.302
18,8,0.236
18,10,0.174
EPOCH18,0.888,70.245

19,2,0.854
19,4,0.442
19,6,0.288
19,8,0.221
19,10,0.177
EPOCH19,0.874,70.303

20,2,0.866
20,4,0.443
20,6,0.280
20,8,0.208
20,10,0.177
EPOCH20,0.858,70.453

21,2,0.887
21,4,0.409
21,6,0.289
21,8,0.205
21,10,0.169
EPOCH21,0.851,70.158

22,2,0.846
22,4,0.420
22,6,0.289
22,8,0.211
22,10,0.169
EPOCH22,0.844,70.127

23,2,0.823
23,4,0.419
23,6,0.278
23,8,0.215
23,10,0.160
EPOCH23,0.829,70.252

24,2,0.803
24,4,0.407
24,6,0.277
24,8,0.208
24,10,0.167
EPOCH24,0.816,70.566

25,2,0.792
25,4,0.395
25,6,0.254
25,8,0.206
25,10,0.172
EPOCH25,0.808,70.664

26,2,0.768
26,4,0.393
26,6,0.268
26,8,0.205
26,10,0.168
EPOCH26,0.800,70.728

27,2,0.784
27,4,0.392
27,6,0.270
27,8,0.202
27,10,0.158
EPOCH27,0.795,70.721

28,2,0.809
28,4,0.387
28,6,0.259
28,8,0.195
28,10,0.160
EPOCH28,0.788,70.849

29,2,0.769
29,4,0.383
29,6,0.258
29,8,0.198
29,10,0.160
EPOCH29,0.782,70.838

30,2,0.798
30,4,0.388
30,6,0.261
30,8,0.197
30,10,0.151
EPOCH30,0.778,70.837

31,2,0.773
31,4,0.394
31,6,0.260
31,8,0.190
31,10,0.154
EPOCH31,0.771,70.873

32,2,0.768
32,4,0.373
32,6,0.253
32,8,0.188
32,10,0.158
EPOCH32,0.764,70.985

33,2,0.799
33,4,0.384
33,6,0.238
33,8,0.188
33,10,0.153
EPOCH33,0.760,70.926

34,2,0.728
34,4,0.355
34,6,0.262
34,8,0.192
34,10,0.152
EPOCH34,0.753,71.025

35,2,0.749
35,4,0.404
35,6,0.245
35,8,0.186
35,10,0.149
EPOCH35,0.750,71.073

36,2,0.743
36,4,0.372
36,6,0.254
36,8,0.183
36,10,0.147
EPOCH36,0.746,71.085

37,2,0.765
37,4,0.374
37,6,0.246
37,8,0.183
37,10,0.147
EPOCH37,0.743,71.111

38,2,0.738
38,4,0.387
38,6,0.245
38,8,0.181
38,10,0.145
EPOCH38,0.740,71.142

39,2,0.724
39,4,0.378
39,6,0.244
39,8,0.181
39,10,0.149
EPOCH39,0.738,71.129

40,2,0.720
40,4,0.375
40,6,0.240
40,8,0.187
40,10,0.145
EPOCH40,0.734,71.158

41,2,0.735
41,4,0.364
41,6,0.237
41,8,0.188
41,10,0.147
EPOCH41,0.733,71.119

42,2,0.752
42,4,0.360
42,6,0.240
42,8,0.177
42,10,0.152
EPOCH42,0.729,71.193

43,2,0.720
43,4,0.367
43,6,0.240
43,8,0.180
43,10,0.140
EPOCH43,0.728,71.178

44,2,0.718
44,4,0.364
44,6,0.240
44,8,0.183
44,10,0.148
EPOCH44,0.724,71.189

45,2,0.760
45,4,0.356
45,6,0.225
45,8,0.181
45,10,0.143
EPOCH45,0.721,71.225

46,2,0.717
46,4,0.360
46,6,0.242
46,8,0.179
46,10,0.144
EPOCH46,0.719,71.225

47,2,0.706
47,4,0.368
47,6,0.230
47,8,0.186
47,10,0.144
EPOCH47,0.717,71.169

48,2,0.719
48,4,0.352
48,6,0.242
48,8,0.177
48,10,0.143
EPOCH48,0.715,71.228

49,2,0.746
49,4,0.352
49,6,0.242
49,8,0.167
49,10,0.143
EPOCH49,0.713,71.176

50,2,0.707
50,4,0.352
50,6,0.235
50,8,0.183
50,10,0.144
EPOCH50,0.710,71.222

51,2,0.725
51,4,0.355
51,6,0.236
51,8,0.174
51,10,0.138
EPOCH51,0.707,71.235

52,2,0.702
52,4,0.361
52,6,0.234
52,8,0.178
52,10,0.141
EPOCH52,0.704,71.270

53,2,0.684
53,4,0.358
53,6,0.232
53,8,0.169
53,10,0.146
EPOCH53,0.702,71.240

54,2,0.721
54,4,0.364
54,6,0.222
54,8,0.173
54,10,0.143
EPOCH54,0.700,71.245

55,2,0.714
55,4,0.326
55,6,0.243
55,8,0.168
55,10,0.145
EPOCH55,0.698,71.278

56,2,0.679
56,4,0.348
56,6,0.228
56,8,0.171
56,10,0.150
EPOCH56,0.695,71.317

57,2,0.708
57,4,0.336
57,6,0.230
57,8,0.168
57,10,0.140
EPOCH57,0.692,71.310

58,2,0.698
58,4,0.351
58,6,0.234
58,8,0.163
58,10,0.141
EPOCH58,0.690,71.307

59,2,0.702
59,4,0.337
59,6,0.228
59,8,0.177
59,10,0.137
EPOCH59,0.687,71.383

60,2,0.679
60,4,0.349
60,6,0.221
60,8,0.173
60,10,0.139
EPOCH60,0.685,71.360

61,2,0.706
61,4,0.352
61,6,0.232
61,8,0.160
61,10,0.133
EPOCH61,0.683,71.383

62,2,0.690
62,4,0.327
62,6,0.241
62,8,0.167
62,10,0.136
EPOCH62,0.680,71.364

63,2,0.652
63,4,0.340
63,6,0.224
63,8,0.176
63,10,0.142
EPOCH63,0.677,71.405

64,2,0.667
64,4,0.343
64,6,0.222
64,8,0.170
64,10,0.134
EPOCH64,0.675,71.402

65,2,0.670
65,4,0.334
65,6,0.230
65,8,0.168
65,10,0.134
EPOCH65,0.672,71.474

66,2,0.654
66,4,0.346
66,6,0.226
66,8,0.158
66,10,0.139
EPOCH66,0.670,71.442

67,2,0.648
67,4,0.346
67,6,0.213
67,8,0.172
67,10,0.135
EPOCH67,0.668,71.451

68,2,0.659
68,4,0.348
68,6,0.221
68,8,0.170
68,10,0.134
EPOCH68,0.666,71.503

69,2,0.677
69,4,0.335
69,6,0.218
69,8,0.166
69,10,0.132
EPOCH69,0.665,71.513

70,2,0.678
70,4,0.334
70,6,0.217
70,8,0.157
70,10,0.135
EPOCH70,0.663,71.549

71,2,0.661
71,4,0.316
71,6,0.224
71,8,0.168
71,10,0.134
EPOCH71,0.661,71.558

72,2,0.668
72,4,0.324
72,6,0.218
72,8,0.164
72,10,0.135
EPOCH72,0.660,71.573

73,2,0.644
73,4,0.337
73,6,0.228
73,8,0.163
73,10,0.126
EPOCH73,0.659,71.576

74,2,0.644
74,4,0.339
74,6,0.233
74,8,0.159
74,10,0.123
EPOCH74,0.658,71.594

75,2,0.678
75,4,0.340
75,6,0.217
75,8,0.158
75,10,0.133
EPOCH75,0.657,71.561

76,2,0.646
76,4,0.320
76,6,0.228
76,8,0.161
76,10,0.131
EPOCH76,0.656,71.571

77,2,0.658
77,4,0.325
77,6,0.213
77,8,0.164
77,10,0.129
EPOCH77,0.654,71.617

78,2,0.645
78,4,0.331
78,6,0.214
78,8,0.169
78,10,0.129
EPOCH78,0.654,71.608

79,2,0.671
79,4,0.315
79,6,0.224
79,8,0.167
79,10,0.125
EPOCH79,0.652,71.625

80,2,0.685
80,4,0.332
80,6,0.216
80,8,0.153
80,10,0.128
EPOCH80,0.652,71.606

81,2,0.650
81,4,0.322
81,6,0.226
81,8,0.154
81,10,0.130
EPOCH81,0.650,71.617

82,2,0.615
82,4,0.328
82,6,0.217
82,8,0.168
82,10,0.131
EPOCH82,0.649,71.659

83,2,0.660
83,4,0.323
83,6,0.226
83,8,0.160
83,10,0.122
EPOCH83,0.648,71.667

84,2,0.670
84,4,0.325
84,6,0.211
84,8,0.157
84,10,0.129
EPOCH84,0.647,71.643

85,2,0.630
85,4,0.337
85,6,0.221
85,8,0.155
85,10,0.125
EPOCH85,0.646,71.675

86,2,0.621
86,4,0.324
86,6,0.226
86,8,0.162
86,10,0.123
EPOCH86,0.644,71.685

87,2,0.645
87,4,0.319
87,6,0.210
87,8,0.161
87,10,0.128
EPOCH87,0.643,71.699

88,2,0.680
88,4,0.318
88,6,0.216
88,8,0.157
88,10,0.126
EPOCH88,0.642,71.715

89,2,0.652
89,4,0.315
89,6,0.213
89,8,0.153
89,10,0.132
EPOCH89,0.641,71.708

90,2,0.638
90,4,0.317
90,6,0.208
90,8,0.160
90,10,0.129
EPOCH90,0.640,71.686

91,2,0.625
91,4,0.325
91,6,0.212
91,8,0.154
91,10,0.132
EPOCH91,0.639,71.710

92,2,0.645
92,4,0.316
92,6,0.215
92,8,0.156
92,10,0.130
EPOCH92,0.638,71.708

93,2,0.652
93,4,0.316
93,6,0.206
93,8,0.160
93,10,0.131
EPOCH93,0.637,71.719

94,2,0.632
94,4,0.313
94,6,0.220
94,8,0.160
94,10,0.124
EPOCH94,0.635,71.749

95,2,0.650
95,4,0.320
95,6,0.202
95,8,0.156
95,10,0.130
EPOCH95,0.634,71.763

96,2,0.643
96,4,0.309
96,6,0.209
96,8,0.160
96,10,0.127
EPOCH96,0.633,71.752

97,2,0.610
97,4,0.316
97,6,0.210
97,8,0.164
97,10,0.126
EPOCH97,0.632,71.773

98,2,0.612
98,4,0.316
98,6,0.212
98,8,0.155
98,10,0.128
EPOCH98,0.631,71.736

99,2,0.667
99,4,0.314
99,6,0.198
99,8,0.155
99,10,0.128
EPOCH99,0.630,71.765

100,2,0.640
100,4,0.324
100,6,0.208
100,8,0.156
100,10,0.124
EPOCH100,0.630,71.775

101,2,0.638
101,4,0.313
101,6,0.212
101,8,0.149
101,10,0.126
EPOCH101,0.627,71.805

102,2,0.619
102,4,0.320
102,6,0.219
102,8,0.155
102,10,0.123
EPOCH102,0.627,71.796

103,2,0.621
103,4,0.329
103,6,0.202
103,8,0.158
103,10,0.124
EPOCH103,0.626,71.798

104,2,0.646
104,4,0.316
104,6,0.205
104,8,0.158
104,10,0.123
EPOCH104,0.625,71.805

105,2,0.615
105,4,0.319
105,6,0.218
105,8,0.155
105,10,0.119
EPOCH105,0.623,71.820

106,2,0.582
106,4,0.321
106,6,0.212
106,8,0.151
106,10,0.127
EPOCH106,0.623,71.833

107,2,0.635
107,4,0.325
107,6,0.203
107,8,0.150
107,10,0.124
EPOCH107,0.621,71.829

108,2,0.626
108,4,0.320
108,6,0.208
108,8,0.154
108,10,0.117
EPOCH108,0.621,71.837

109,2,0.607
