1,4,1.590
1,8,0.701
1,12,0.455
1,16,0.319
1,20,0.254
EPOCH1,1.369,52.535

2,4,1.300
2,8,0.633
2,12,0.407
2,16,0.302
2,20,0.242
EPOCH2,1.243,66.498

3,4,1.208
3,8,0.607
3,12,0.405
3,16,0.293
3,20,0.243
EPOCH3,1.207,68.306

4,4,1.186
4,8,0.562
4,12,0.379
4,16,0.297
4,20,0.247
EPOCH4,1.176,69.097

5,4,1.146
5,8,0.568
5,12,0.395
5,16,0.295
5,20,0.231
EPOCH5,1.156,69.635

6,4,1.103
6,8,0.572
6,12,0.382
6,16,0.292
6,20,0.222
EPOCH6,1.133,70.001

7,4,1.137
7,8,0.574
7,12,0.365
7,16,0.285
7,20,0.208
EPOCH7,1.112,70.195

8,4,1.124
8,8,0.517
8,12,0.359
8,16,0.281
8,20,0.223
EPOCH8,1.095,70.299

9,4,1.025
9,8,0.543
9,12,0.362
9,16,0.272
9,20,0.215
EPOCH9,1.077,70.406

10,4,1.097
10,8,0.537
10,12,0.353
10,16,0.262
10,20,0.209
EPOCH10,1.059,70.504

11,4,1.049
11,8,0.517
11,12,0.336
11,16,0.267
11,20,0.208
EPOCH11,1.040,70.732

12,4,1.039
12,8,0.524
12,12,0.347
12,16,0.250
12,20,0.196
EPOCH12,1.023,70.763

13,4,0.978
13,8,0.525
13,12,0.335
13,16,0.247
13,20,0.200
EPOCH13,1.006,70.863

14,4,1.040
14,8,0.496
14,12,0.313
14,16,0.237
14,20,0.206
EPOCH14,0.992,70.821

15,4,0.961
15,8,0.502
15,12,0.328
15,16,0.249
15,20,0.186
EPOCH15,0.978,70.791

16,4,0.939
16,8,0.487
16,12,0.326
16,16,0.246
16,20,0.189
EPOCH16,0.961,70.946

17,4,0.918
17,8,0.491
17,12,0.302
17,16,0.245
17,20,0.195
EPOCH17,0.945,71.012

18,4,0.985
18,8,0.455
18,12,0.308
18,16,0.230
18,20,0.187
EPOCH18,0.933,70.957

19,4,0.907
19,8,0.459
19,12,0.300
19,16,0.231
19,20,0.185
EPOCH19,0.917,71.073

20,4,0.925
20,8,0.460
20,12,0.286
20,16,0.225
20,20,0.183
EPOCH20,0.904,71.101

21,4,0.924
21,8,0.452
21,12,0.286
21,16,0.218
21,20,0.179
EPOCH21,0.892,71.080

22,4,0.857
22,8,0.420
22,12,0.293
22,16,0.231
22,20,0.177
EPOCH22,0.878,71.150

23,4,0.818
23,8,0.433
23,12,0.291
23,16,0.217
23,20,0.178
EPOCH23,0.867,71.062

24,4,0.886
24,8,0.445
24,12,0.278
24,16,0.204
24,20,0.169
EPOCH24,0.855,71.227

25,4,0.834
25,8,0.431
25,12,0.281
25,16,0.214
25,20,0.167
EPOCH25,0.846,71.362

26,4,0.821
26,8,0.423
26,12,0.277
26,16,0.214
26,20,0.167
EPOCH26,0.840,71.371

27,4,0.863
27,8,0.408
27,12,0.277
27,16,0.205
27,20,0.170
EPOCH27,0.834,71.420

28,4,0.843
28,8,0.403
28,12,0.280
28,16,0.205
28,20,0.167
EPOCH28,0.828,71.427

29,4,0.845
29,8,0.388
29,12,0.283
29,16,0.201
29,20,0.169
EPOCH29,0.821,71.457

30,4,0.770
30,8,0.418
30,12,0.262
30,16,0.209
30,20,0.168
EPOCH30,0.815,71.454

31,4,0.865
31,8,0.409
31,12,0.265
31,16,0.196
31,20,0.161
EPOCH31,0.809,71.496

32,4,0.776
32,8,0.407
32,12,0.273
32,16,0.198
32,20,0.162
EPOCH32,0.803,71.511

33,4,0.790
33,8,0.392
33,12,0.264
33,16,0.197
33,20,0.165
EPOCH33,0.797,71.554

34,4,0.783
34,8,0.390
34,12,0.269
34,16,0.200
34,20,0.160
EPOCH34,0.791,71.570

35,4,0.800
35,8,0.399
35,12,0.270
35,16,0.185
35,20,0.157
EPOCH35,0.787,71.529

36,4,0.780
36,8,0.393
36,12,0.257
36,16,0.202
36,20,0.156
EPOCH36,0.780,71.586

37,4,0.756
37,8,0.400
37,12,0.262
37,16,0.188
37,20,0.154
EPOCH37,0.775,71.650

38,4,0.757
38,8,0.393
38,12,0.262
38,16,0.185
38,20,0.154
EPOCH38,0.770,71.575

39,4,0.782
39,8,0.382
39,12,0.255
39,16,0.189
39,20,0.146
EPOCH39,0.764,71.659

40,4,0.762
40,8,0.381
40,12,0.252
40,16,0.186
40,20,0.152
EPOCH40,0.758,71.684

41,4,0.739
41,8,0.369
41,12,0.253
41,16,0.182
41,20,0.154
EPOCH41,0.753,71.669

42,4,0.761
42,8,0.382
42,12,0.245
42,16,0.186
42,20,0.145
EPOCH42,0.748,71.687

43,4,0.779
43,8,0.369
43,12,0.243
43,16,0.190
43,20,0.143
EPOCH43,0.743,71.664

44,4,0.701
44,8,0.359
44,12,0.251
44,16,0.187
44,20,0.151
EPOCH44,0.737,71.768

45,4,0.739
45,8,0.362
45,12,0.243
45,16,0.189
45,20,0.145
EPOCH45,0.731,71.805

46,4,0.746
46,8,0.361
46,12,0.242
46,16,0.180
46,20,0.145
EPOCH46,0.726,71.912

47,4,0.748
47,8,0.350
47,12,0.251
47,16,0.174
47,20,0.150
EPOCH47,0.723,71.961

48,4,0.745
48,8,0.367
48,12,0.239
48,16,0.173
48,20,0.143
EPOCH48,0.720,72.001

49,4,0.736
49,8,0.364
49,12,0.236
49,16,0.175
49,20,0.146
EPOCH49,0.717,72.030

50,4,0.667
50,8,0.366
50,12,0.240
50,16,0.180
50,20,0.148
EPOCH50,0.714,72.052

51,4,0.695
51,8,0.374
51,12,0.234
51,16,0.179
51,20,0.139
EPOCH51,0.712,72.011

52,4,0.699
52,8,0.343
52,12,0.231
52,16,0.180
52,20,0.149
EPOCH52,0.710,72.004

53,4,0.748
53,8,0.351
53,12,0.234
53,16,0.179
53,20,0.136
EPOCH53,0.707,72.037

54,4,0.679
54,8,0.356
54,12,0.246
54,16,0.181
54,20,0.135
EPOCH54,0.706,72.011

55,4,0.688
55,8,0.347
55,12,0.232
55,16,0.177
55,20,0.145
EPOCH55,0.702,72.055

56,4,0.728
56,8,0.344
56,12,0.243
56,16,0.173
56,20,0.136
EPOCH56,0.700,72.073

57,4,0.671
57,8,0.352
57,12,0.237
57,16,0.175
57,20,0.139
EPOCH57,0.697,72.107

58,4,0.706
58,8,0.344
58,12,0.244
58,16,0.158
58,20,0.146
EPOCH58,0.694,72.139

59,4,0.712
59,8,0.349
59,12,0.224
59,16,0.172
59,20,0.138
EPOCH59,0.692,72.144

60,4,0.700
60,8,0.345
60,12,0.230
60,16,0.171
60,20,0.135
EPOCH60,0.689,72.174

61,4,0.684
61,8,0.337
61,12,0.239
61,16,0.168
61,20,0.137
EPOCH61,0.687,72.181

62,4,0.692
62,8,0.345
62,12,0.230
62,16,0.165
62,20,0.137
EPOCH62,0.685,72.137

63,4,0.635
63,8,0.349
63,12,0.229
63,16,0.169
63,20,0.143
EPOCH63,0.683,72.162

64,4,0.678
64,8,0.337
64,12,0.225
64,16,0.167
64,20,0.139
EPOCH64,0.679,72.211

65,4,0.697
65,8,0.336
65,12,0.228
65,16,0.168
65,20,0.133
EPOCH65,0.677,72.255

66,4,0.661
66,8,0.339
66,12,0.225
66,16,0.170
66,20,0.134
EPOCH66,0.674,72.273

67,4,0.714
67,8,0.325
67,12,0.212
67,16,0.163
67,20,0.135
EPOCH67,0.671,72.322

68,4,0.681
