Central, Accuracy, Experiment,   Time (hrs)
85.186, 72.513, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_0/, 2.258
85.794, 72.534, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_0/, 2.271
85.585, 72.577, data/experiment_1/uniform_vary_eps_lr0001_ep180_bs8_1/, 2.246
85.417, 72.584, data/experiment_1/uniform_vary_eps_lr0001_ep180_bs8_2/, 2.234
85.082, 72.604, data/experiment_1/uniform_vary_eps_lr0001_ep180_bs8_3/, 2.236
85.808, 72.607, data/experiment_1/none_lr0001_ep180_bs8_4/, 1.574
85.806, 72.610, data/experiment_1/uniform_vary_eps_lr0001_ep180_bs8_4/, 2.232
85.828, 72.622, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_4/, 2.241
85.908, 72.629, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_1/, 1.589
86.299, 72.633, data/experiment_1/weighted_fixed_eps_lr0001_ep180_bs8_3/, 2.232
85.820, 72.639, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_0/, 1.616
86.113, 72.654, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_3/, 2.235
86.295, 72.659, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_2/, 2.239
86.266, 72.701, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_2/, 1.600
86.245, 72.710, data/experiment_1/none_lr0001_ep180_bs8_1/, 1.606
86.423, 72.964, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_0/, 1.576
86.103, 73.495, data/experiment_1/weighted_fixed_eps_lr0001_ep180_bs8_1/, 2.232
86.039, 73.563, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_4/, 1.595
85.578, 73.781, data/experiment_1/weighted_vary_eps_lr0001_ep180_bs8_1/, 2.236
85.562, 82.548, data/experiment_1/none_lr0001_ep180_bs8_2/, 1.584
85.205, 91.488, data/experiment_1/none_lr0001_ep180_bs8_0/, 1.585
85.521, 94.948, data/experiment_1/uniform_fixed_eps_lr0001_ep180_bs8_3/, 1.586
86.298, 96.297, data/experiment_1/uniform_vary_eps_lr0001_ep180_bs8_0/, 2.241
85.863, 96.441, data/experiment_1/weighted_fixed_eps_lr0001_ep180_bs8_4/, 2.241
85.914, 96.636, data/experiment_1/weighted_fixed_eps_lr0001_ep180_bs8_2/, 2.251
85.223, 96.713, data/experiment_1/weighted_fixed_eps_lr0001_ep180_bs8_0/, 2.235
85.928, 96.857, data/experiment_1/none_lr0001_ep180_bs8_3/, 1.580
