1,4,1.642
1,8,0.692
1,12,0.434
1,16,0.309
1,20,0.219
EPOCH1,1.302,57.379

2,4,0.956
2,8,0.463
2,12,0.282
2,16,0.209
2,20,0.155
EPOCH2,0.859,71.275

3,4,0.742
3,8,0.347
3,12,0.222
3,16,0.162
3,20,0.122
EPOCH3,0.669,66.452

4,4,0.661
4,8,0.317
4,12,0.203
4,16,0.147
4,20,0.114
EPOCH4,0.610,66.382

5,4,0.557
5,8,0.281
5,12,0.184
5,16,0.140
5,20,0.106
EPOCH5,0.553,68.367

6,4,0.541
6,8,0.261
6,12,0.174
6,16,0.134
6,20,0.103
EPOCH6,0.527,68.358

7,4,0.508
7,8,0.254
7,12,0.175
7,16,0.126
7,20,0.104
EPOCH7,0.513,70.102

8,4,0.503
8,8,0.256
8,12,0.170
8,16,0.129
8,20,0.104
EPOCH8,0.509,71.010

9,4,0.506
9,8,0.247
9,12,0.166
9,16,0.126
9,20,0.099
EPOCH9,0.500,72.785

10,4,0.493
10,8,0.248
10,12,0.161
10,16,0.126
10,20,0.099
EPOCH10,0.495,75.535

11,4,0.501
11,8,0.247
11,12,0.165
11,16,0.120
11,20,0.097
EPOCH11,0.492,77.685

12,4,0.495
12,8,0.245
12,12,0.164
12,16,0.120
12,20,0.098
EPOCH12,0.489,75.632

13,4,0.479
13,8,0.245
13,12,0.168
13,16,0.117
13,20,0.100
EPOCH13,0.488,82.062

14,4,0.494
14,8,0.242
14,12,0.161
14,16,0.121
14,20,0.099
EPOCH14,0.488,79.849

15,4,0.481
15,8,0.235
15,12,0.162
15,16,0.125
15,20,0.094
EPOCH15,0.484,81.468

16,4,0.490
16,8,0.239
16,12,0.156
16,16,0.124
16,20,0.096
EPOCH16,0.484,81.466

17,4,0.471
17,8,0.247
17,12,0.158
17,16,0.121
17,20,0.097
EPOCH17,0.484,80.912

18,4,0.497
18,8,0.233
18,12,0.158
18,16,0.119
18,20,0.095
EPOCH18,0.479,85.232

19,4,0.492
19,8,0.237
19,12,0.157
19,16,0.118
19,20,0.093
EPOCH19,0.478,83.342

20,4,0.484
20,8,0.241
20,12,0.161
20,16,0.119
20,20,0.094
EPOCH20,0.477,84.192

21,4,0.476
21,8,0.242
21,12,0.158
21,16,0.118
21,20,0.093
EPOCH21,0.477,85.499

22,4,0.469
22,8,0.242
22,12,0.161
22,16,0.118
22,20,0.092
EPOCH22,0.474,83.434

23,4,0.469
23,8,0.233
23,12,0.159
23,16,0.120
23,20,0.095
EPOCH23,0.473,85.406

24,4,0.460
24,8,0.237
24,12,0.159
24,16,0.122
24,20,0.093
EPOCH24,0.471,85.475

25,4,0.466
25,8,0.244
25,12,0.157
25,16,0.116
25,20,0.094
EPOCH25,0.470,84.467

